ext_id,ontology,title,image_link,predicted_ontology
299900326,->null,,,
235940005,Male>Jackets,Baker Bomber Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/235940005-front-pdp.jpg,unisex>outerwear>jackets&coats>bomber
197750001,Male>Sweatshirts,Classic Crew Sweatshirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/197750001-front-pdp.jpg,unisex>topwear>sweatshirts
470240016,->null,,,
771342033,Male>Belts,Two horse Pull Plaque Webbing Belt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/771342033-front-pdp.jpg,unisex>accessories>belts
195860013,Male>Shirts,Classic One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195860013-front-pdp.jpg,unisex>topwear>shirts
224910097,Male>GraphicTShirts,Levi's&reg; Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224910097-front-pdp.jpg,unisex>topwear>tshirts
263090001,Female>Shirts,Boyfriend Workwear Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/263090001-front-pdp.jpg,unisex>topwear>shirts
196220005,Male>Hoodies,Levi's&reg; Housemark Pullover Hoodie,http://lsco.scene7.com/is/image/lsco/Levi/clothing/196220005-front-pdp.jpg,unisex>outerwear>hoodies
658160190,Male>Shirts,Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160190-front-pdp.jpg,unisex>topwear>shirts
187200012,Male>Jeans,519 &trade; Extreme Skinny Fit Line 8 Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/187200012-front-pdp.jpg,unisex>bottomwear>jeans>skinny
224890027,Male>GraphicTShirts,Levi's&reg; Housemark Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224890027-front-pdp.jpg,unisex>topwear>tshirts
249960009,Female>Shirts,Classic Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/249960009-front-pdp.jpg,unisex>topwear>shirts
196310041,Female>Jeans,314 Shaping Straight Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/196310041-front-pdp.jpg,unisex>bottomwear>jeans>straight
224910123,Male>GraphicTShirts,Levi's&reg; Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224910123-front-pdp.jpg,unisex>topwear>tshirts
365120038,Male>Shorts,501&reg; Original Fit Short,http://lsco.scene7.com/is/image/lsco/Levi/clothing/365120038-front-pdp.jpg,unisex>bottomwear>shorts
234640002,Female>TankTops,Easy Rib Tank,http://lsco.scene7.com/is/image/lsco/Levi/clothing/234640002-front-pdp.jpg,unisex>topwear>tanks
239770009,Female>TShirts,Boyfriend Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/239770009-front-pdp.jpg,unisex>topwear>tshirts
194920004,Male>Sweatshirts,Levi's&reg; 2 Horse Crew,http://lsco.scene7.com/is/image/lsco/Levi/clothing/194920004-2015-fall-front-pdp.jpg,>topwear>sweatshirts
239770010,Female>Tees,Boyfriend Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/239770010-front-pdp.jpg,unisex>topwear>tshirts
275800000,Male>Tees,Long Sleeve Raglan Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/275800000-front-pdp.jpg,unisex>topwear>tshirts
773190841,Male>Socks,Levis&reg; 084 Series 1 Pack Graphic Socks,http://lsco.scene7.com/is/image/lsco/Levi/clothing/773190841-front-pdp.jpg,unisex>underwear_&_socks>socks
