ext_id,title,link,msd_ontology_with_link,msd_ontology_with_title,cp_ontology_with_link,cp_ontology_with_title
P60145956,5 Pack Flat Seams Pure Cotton Bodysuits,http://www.marksandspencer.com/5-pack-flat-seams-pure-cotton-bodysuits/p/p60145956,NA>shoes>flats>others,NA>shoes>flats>others,NA>shoes>flats>others,NA>shoes>flats>others
P22111995,2 Pack Moulded Underwired First Bras,http://www.marksandspencer.com/2-pack-underwired-bras/p/p22111995,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60163484,Swimsuit Set with Sun Safe UPF50+ (5-16 Years),http://www.marksandspencer.com/3-piece-swimsuit-set-with-lycra-xtra-life-3-16-years-/p/p60163484,NA>swimwear>others,NA>swimwear>others,NA>swimwear>others,NA>swimwear>others
P21044535,3 Pack of Gentle Grip Lambswool Blend Socks,http://www.marksandspencer.com/3-pairs-of-freshfeet-wool-blend-non-elastic-socks-with-silver-technology/p/p21044535,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks
P60087319,Embroidered High Rise Shorts,http://www.marksandspencer.com/embroidered-high-rise-shorts/p/p60087319,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P22323578,Suede Moccasin Slippers with Thinsulate&trade;,http://www.marksandspencer.com/suede-moccasins-slipper-with-thinsulate/p/p22323578,NA>shoes>bedroom_slippers,NA>shoes>bedroom_slippers,NA>shoes>bedroom_slippers,NA>shoes>bedroom_slippers
P22489403,Navy Striped Regular Fit Wool Trousers,http://www.marksandspencer.com/navy-striped-regular-fit-wool-trousers/p/p22489403,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
P22474943,Skinny Fit Stretch Jeans,http://www.marksandspencer.com/skinny-fit-jeans/p/p22474943,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny
P60098029,Stainless Steel Round Face Watch,http://www.marksandspencer.com/stainless-steel-round-face-watch/p/p60098029,NA>accessories>watches,NA>accessories>watches,NA>accessories>watches,NA>accessories>watches
P60123002,Cotton Blend Printed Dressing Gown with Belt,http://www.marksandspencer.com/cotton-blend-printed-dressing-gown-with-belt/p/p60123002,NA>dresses>maxi,NA>dresses>maxi,NA>dresses>maxi,NA>dresses>maxi
P22510243,Bar Back 3/4 Sleeve Tunic Dress,http://www.marksandspencer.com/bar-back-3-4-sleeve-tunic-midi-dress/p/p22510243,NA>dresses>others,NA>dresses>others,NA>dresses>others,NA>dresses>others
P60111905,Black Tailored Fit Trousers,http://www.marksandspencer.com/black-slim-fit-trousers/p/p60111905,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
P22213713,Pearl Effect Flower Choker Necklace & Bracelet Set,http://www.marksandspencer.com/pearl-effect-flower-choker-necklace-and-bracelet-set/p/p22213713,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
P22214274,5 Pack Trainer Liner Socks,http://www.marksandspencer.com/5-pairs-of-trainer-liner-socks/p/p22214274,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks
P20041506,40 Denier Body Sensor&trade; Hold-ups,http://www.marksandspencer.com/40-denier-body-sensor-opaque-hold-ups/p/p20041506,NA>topwear>bodysuits,NA>topwear>bodysuits,NA>topwear>bodysuits,NA>topwear>bodysuits
P22497552,Aztec Print Hand Embellished Clutch Bag with Strap,http://www.marksandspencer.com/aztec-print-clutch-bag-with-strap/p/p22497552,NA>bags>others,NA>bags>others,NA>bags>others,NA>bags>others
P60099513,Flexifit Non-Padded Minimiser Full Cup Bra C-G,http://www.marksandspencer.com/non-padded-minimiser-full-cup-bra-c-g/p/p60099513,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60110217,Cotton Skinny Leg Jeans with Stretch (3-14 Years),http://www.marksandspencer.com/cotton-rich-skinny-jeans-with-stretch-3-14-years-/p/p60110217,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny
P21078931,2 Pack Non-Wired Crossover Full Cup A-E Bras,http://www.marksandspencer.com/2-pack-non-wired-crossover-a-e-bras/p/p21078931,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P22489331,Cotton Rich Easy to Iron Regular Fit Shirt,http://www.marksandspencer.com/cotton-rich-easy-to-iron-long-sleeve-shirt/p/p22489331,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts,NA>topwear>shirts
P60099880,All Over Lace Light Control Secret Slimming&trade; Thong,http://www.marksandspencer.com/all-over-lace-light-control-secret-slimming-thong/p/p60099880,NA>lingerie>others,NA>lingerie>others,NA>lingerie>others,NA>lingerie>others
P60099652,2 Pack Maternity Non-Padded Full Cup Bras C-H,http://www.marksandspencer.com/2-pack-maternity-non-padded-full-cup-bra-c-h/p/p60099652,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60091666,PLUS Boys' Cargo Shorts,http://www.marksandspencer.com/boys-plus-fit-adjustable-waist-shorts-with-crease-resistant/p/p60091666,boys>bottomwear>shorts,boys>bottomwear>shorts,boys>bottomwear>shorts,boys>bottomwear>shorts
P60114994,Black Slim Fit Italian Wool Jacket,http://www.marksandspencer.com/black-slim-fit-wool-jacket/p/p60114994,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others
P60101689,Pure Brushed Cotton Checked Pyjama Set,http://www.marksandspencer.com/pure-brushed-cotton-checked-pyjamas/p/p60101689,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P22342087,Big & Tall Extra Wide Fit Leather Shoes,http://www.marksandspencer.com/big-and-tall-airflex-leather-extra-wide-fit-lace-up-shoes/p/p22342087,NA>shoes>others,NA>shoes>others,NA>shoes>others,NA>shoes>others
P60134931,Pure Cotton Spotted Slash Neck T-Shirt,http://www.marksandspencer.com/pure-cotton-spotted-slash-neck-t-shirt/p/p60134931,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts
P60132642,Kids’ Leather Gladiator Sandals (13 Small - 6 Large),http://www.marksandspencer.com/kids-leather-gladiator-sandals/p/p60132642,NA>shoes>flats>gladiators,NA>shoes>flats>gladiators,NA>shoes>flats>gladiators,NA>shoes>flats>gladiators
P22046304,Lace Wing Smoothing Underwired Non-Padded Bra B-E,http://www.marksandspencer.com/underwired-lace-wing-non-padded-b-dd-bra/p/p22046304,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P22469846,Slim Fit Flat Front Trousers,http://www.marksandspencer.com/slim-fit-flat-front-trousers/p/p22469846,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
