ext_id,title,link,predicted_ontology
P60145956,5 Pack Flat Seams Pure Cotton Bodysuits,http://www.marksandspencer.com/5-pack-flat-seams-pure-cotton-bodysuits/p/p60145956,women>topwear>bodysuits
P22111995,2 Pack Moulded Underwired First Bras,http://www.marksandspencer.com/2-pack-underwired-bras/p/p22111995,women>lingerie>bras
P60163484,Swimsuit Set with Sun Safe UPF50+ (5-16 Years),http://www.marksandspencer.com/3-piece-swimsuit-set-with-lycra-xtra-life-3-16-years-/p/p60163484,kids>swimwear>others
P21044535,3 Pack of Gentle Grip Lambswool Blend Socks,http://www.marksandspencer.com/3-pairs-of-freshfeet-wool-blend-non-elastic-socks-with-silver-technology/p/p21044535,unisex>underwear_&_socks>socks
P60087319,Embroidered High Rise Shorts,http://www.marksandspencer.com/embroidered-high-rise-shorts/p/p60087319,unisex>bottomwear>shorts
P22323578,Suede Moccasin Slippers with Thinsulate&trade;,http://www.marksandspencer.com/suede-moccasins-slipper-with-thinsulate/p/p22323578,unisex>shoes>bedroom_slippers
P22489403,Navy Striped Regular Fit Wool Trousers,http://www.marksandspencer.com/navy-striped-regular-fit-wool-trousers/p/p22489403,unisex>bottomwear>pants>trousers
P22474943,Skinny Fit Stretch Jeans,http://www.marksandspencer.com/skinny-fit-jeans/p/p22474943,unisex>bottomwear>jeans>skinny
P60098029,Stainless Steel Round Face Watch,http://www.marksandspencer.com/stainless-steel-round-face-watch/p/p60098029,unisex>accessories>watches
P60123002,Cotton Blend Printed Dressing Gown with Belt,http://www.marksandspencer.com/cotton-blend-printed-dressing-gown-with-belt/p/p60123002,unisex>gown>dressing
P22510243,Bar Back 3/4 Sleeve Tunic Dress,http://www.marksandspencer.com/bar-back-3-4-sleeve-tunic-midi-dress/p/p22510243,women>dresses>others
P60111905,Black Tailored Fit Trousers,http://www.marksandspencer.com/black-slim-fit-trousers/p/p60111905,unisex>bottomwear>pants>trousers
P22213713,Pearl Effect Flower Choker Necklace & Bracelet Set,http://www.marksandspencer.com/pearl-effect-flower-choker-necklace-and-bracelet-set/p/p22213713,women>accessories>jewelry>necklaces
P22214274,5 Pack Trainer Liner Socks,http://www.marksandspencer.com/5-pairs-of-trainer-liner-socks/p/p22214274,unisex>underwear_&_socks>socks
P20041506,40 Denier Body Sensor&trade; Hold-ups,http://www.marksandspencer.com/40-denier-body-sensor-opaque-hold-ups/p/p20041506,women>topwear>bodysuits
P22497552,Aztec Print Hand Embellished Clutch Bag with Strap,http://www.marksandspencer.com/aztec-print-clutch-bag-with-strap/p/p22497552,women>bags>clutches
P60099513,Flexifit Non-Padded Minimiser Full Cup Bra C-G,http://www.marksandspencer.com/non-padded-minimiser-full-cup-bra-c-g/p/p60099513,women>lingerie>bras
P60110217,Cotton Skinny Leg Jeans with Stretch (3-14 Years),http://www.marksandspencer.com/cotton-rich-skinny-jeans-with-stretch-3-14-years-/p/p60110217,kids>bottomwear>jeans>skinny
P21078931,2 Pack Non-Wired Crossover Full Cup A-E Bras,http://www.marksandspencer.com/2-pack-non-wired-crossover-a-e-bras/p/p21078931,women>lingerie>bras
P22489331,Cotton Rich Easy to Iron Regular Fit Shirt,http://www.marksandspencer.com/cotton-rich-easy-to-iron-long-sleeve-shirt/p/p22489331,unisex>topwear>shirts
P60099880,All Over Lace Light Control Secret Slimming&trade; Thong,http://www.marksandspencer.com/all-over-lace-light-control-secret-slimming-thong/p/p60099880,women>lingerie>others
P60099652,2 Pack Maternity Non-Padded Full Cup Bras C-H,http://www.marksandspencer.com/2-pack-maternity-non-padded-full-cup-bra-c-h/p/p60099652,women>lingerie>bras
P60091666,PLUS Boys' Cargo Shorts,http://www.marksandspencer.com/boys-plus-fit-adjustable-waist-shorts-with-crease-resistant/p/p60091666,boys>bottomwear>shorts
P60114994,Black Slim Fit Italian Wool Jacket,http://www.marksandspencer.com/black-slim-fit-wool-jacket/p/p60114994,unisex>outerwear>jackets&coats>others
P60101689,Pure Brushed Cotton Checked Pyjama Set,http://www.marksandspencer.com/pure-brushed-cotton-checked-pyjamas/p/p60101689,unisex>bottomwear>pyjama
P22342087,Big & Tall Extra Wide Fit Leather Shoes,http://www.marksandspencer.com/big-and-tall-airflex-leather-extra-wide-fit-lace-up-shoes/p/p22342087,unisex>shoes>others
P60134931,Pure Cotton Spotted Slash Neck T-Shirt,http://www.marksandspencer.com/pure-cotton-spotted-slash-neck-t-shirt/p/p60134931,unisex>topwear>tshirts
P60132642,Kids Leather Gladiator Sandals (13 Small - 6 Large),http://www.marksandspencer.com/kids-leather-gladiator-sandals/p/p60132642,kids>shoes>flats>gladiators
P22046304,Lace Wing Smoothing Underwired Non-Padded Bra B-E,http://www.marksandspencer.com/underwired-lace-wing-non-padded-b-dd-bra/p/p22046304,women>lingerie>bras
P22469846,Slim Fit Flat Front Trousers,http://www.marksandspencer.com/slim-fit-flat-front-trousers/p/p22469846,unisex>bottomwear>pants>trousers
P60155334,Pure Cotton Lightweight Knitted Cardigan,http://www.marksandspencer.com/pure-cotton-lightweight-knitted-cardigan/p/p60155334,unisex>outerwear>cardigans
P60154850,Padded Bandeau Tankini Top,http://www.marksandspencer.com/padded-bandeau-tankini-top/p/p60154850,women>swimwear>one_piece
P60145465,Kids' Riptape Sandals (5 Small - 12 Small),http://www.marksandspencer.com/kids-riptape-sandals-5-small-12-small-/p/p60145465,kids>shoes>sandals
P22477062,Long Sleeve Bodysuit (3-8 Years),http://www.marksandspencer.com/long-sleeve-bodysuit/p/p22477062,kids>topwear>bodysuits
P22284745,4 Pack Pure Cotton Briefs with StayNEW&trade;,http://www.marksandspencer.com/4-pack-classic-pure-cotton-briefs/p/p22284745,unisex>underwear_&_socks>underwear
P22390528,3 Pairs of Pure Cotton Luxury Mercerised Socks,http://www.marksandspencer.com/3-pairs-of-cotton-rich-socks/p/p22390528,unisex>underwear_&_socks>socks
P22482459,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22482459,kids>topwear>bodysuits
P60115137,5 Pack Emoji Embroidered Socks,http://www.marksandspencer.com/5-pairs-of-cotton-rich-embroidered-socks/p/p60115137,unisex>underwear_&_socks>socks
P22481168,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22481168,kids>topwear>bodysuits
P60088215,5 Pack Cotton Rich Hipster Underwear,http://www.marksandspencer.com/5-pack-cotton-rich-hipster-underwear/p/p60088215,unisex>underwear_&_socks>underwear
P60098835,2 Piece Pure Cotton Bodysuit & Dungaree Outfit,http://www.marksandspencer.com/2-piece-pure-cotton-bodysuit-and-dungaree-outfit/p/p60098835,unisex>outfits>others
P60092218,Super Soft Cotton Personalised Alphabet P Gown,http://www.marksandspencer.com/cotton-rich-personalised-alphabet-p-dressing-gown/p/p60092218,unisex>dresses>gown
P60099727,2 Pack Boys' Easy Dressing Shorts,http://www.marksandspencer.com/2-pack-boys-adjustable-waist-shorts/p/p60099727,boys>bottomwear>shorts
P22391244,3 Pack Merino Wool Blend Socks,http://www.marksandspencer.com/3-pairs-of-merino-wool-blend-socks/p/p22391244,unisex>underwear_&_socks>socks
P60088143,Long Sleeve Thermal Top,http://www.marksandspencer.com/long-sleeve-thermal-top/p/p60088143,women>topwear>others
P22483463,Leather Lace-up Shoes,http://www.marksandspencer.com/leather-welted-laceup-shoes/p/p22483463,unisex>shoes>others
P22480647,Pure Cotton Bodysuit (3-16 Years),http://www.marksandspencer.com/pure-cotton-short-sleeve-bodysuit-3-16-years-/p/p22480647,kids>topwear>bodysuits
P22113758,2 Pack Pure Cotton Drawstring Waist Shorts,http://www.marksandspencer.com/2-pack-pure-cotton-drawstring-waist-jersey-shorts/p/p22113758,unisex>bottomwear>shorts
P22284748,3 Pack Cotton Jersey Boxers,http://www.marksandspencer.com/3-pack-pure-cotton-cool-and-fresh-boxers-with-staynew/p/p22284748,men>underwear_&_socks>underwear
P22295520,Feather & Bow Mesh Hat,http://www.marksandspencer.com/feather-and-bow-mesh-hat/p/p22295520,unisex>accessories>hats>others
P60098380,2 Pack Girls' Slim Fit Non-Iron Blouses,http://www.marksandspencer.com/slim-fit-2-pack-unisex-non-iron-blouses/p/p60098380,girls>topwear>blouses
P60122420,Beaded Tassel Necklace,http://www.marksandspencer.com/beaded-tassel-necklace/p/p60122420,women>accessories>jewelry>necklaces
P22364298,5 Pair Pack Microfibre Printed Low Rise Shorts,http://www.marksandspencer.com/5-pair-pack-microfibre-printed-low-rise-shorts/p/p22364298,unisex>bottomwear>shorts
P60116055,Pure Cotton Non-Iron Regular Fit Shirt,http://www.marksandspencer.com/pure-cotton-regular-fit-shirt-with-pocket/p/p60116055,unisex>topwear>shirts
P60100217,2 Pack Girls' Trousers,http://www.marksandspencer.com/2-pack-girls-crease-resistant-adjustable-waist-regular-leg-trousers/p/p60100217,girls>bottomwear>pants>trousers
P60100579,Boys' Skinny Leg Slim Fit Trousers,http://www.marksandspencer.com/slim-fit-2-pack-boys-skinny-leg-trousers/p/p60100579,boys>bottomwear>pants>trousers
P60098371,2 Pack Boys' Pure Cotton Non-Iron Shirts,http://www.marksandspencer.com/2-pack-boys-pure-cotton-non-iron-shirts/p/p60098371,boys>topwear>shirts
P60100457,Senior Boys' Slim Leg Trousers,http://www.marksandspencer.com/senior-boys-slim-leg-trousers-with-supercrease/p/p60100457,boys>bottomwear>pants>trousers
P60106713,2 Pack Easy Dressing Unisex Polo Shirts,http://www.marksandspencer.com/2-pack-pure-cotton-unisex-polo-shirt/p/p60106713,unisex>topwear>shirt
P60108850,Cotton Blend Thermal Long Pants (18 Months - 16 Years),http://www.marksandspencer.com/cotton-blend-thermal-long-pants-18-months-16-years-/p/p60108850,kids>bottomwear>pants>trousers
P60110632,Gold & Silver Plated Necklace Extenders,http://www.marksandspencer.com/gold-and-silver-plated-necklace-extenders/p/p60110632,women>accessories>jewelry>necklaces
